vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.375     	8.0_64.0	1.0	0.5	27	8	239	9	7	2	0.75	0.968	0.94	0.718	0.771	0.75	0.76	0.229
0.5       	4.0_64.0	1.0	0.5	60	13	785	18	11	7	0.769	0.984	0.965	0.753	0.822	0.769	0.795	0.178
0.5       	8.0_64.0	1.0	0.5	42	6	425	10	6	4	0.808	0.986	0.967	0.794	0.875	0.808	0.84	0.125
0.7_0.75  	4.0_64.0	1.0	0.5	52	10	262	14	9	5	0.788	0.963	0.929	0.751	0.839	0.788	0.813	0.161
0.7_0.75  	8.0_64.0	1.0	0.5	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	1.0	0.5	55	10	144	11	9	2	0.833	0.935	0.905	0.768	0.846	0.833	0.839	0.154
1.0       	8.0_64.0	1.0	0.5	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.0	0.6	37	1438	13658	29	25	4	0.561	0.905	0.903	0.466	0.025	0.561	0.048	0.975
0.1_0.125 	8.0_64.0	1.0	0.6	29	970	8764	15	13	2	0.659	0.9	0.899	0.559	0.029	0.659	0.056	0.971
0.25      	4.0_64.0	1.0	0.6	40	207	4318	26	19	7	0.606	0.954	0.949	0.56	0.162	0.606	0.256	0.838
0.25      	8.0_64.0	1.0	0.6	31	112	2477	13	9	4	0.705	0.957	0.953	0.662	0.217	0.705	0.332	0.783
0.375     	4.0_64.0	1.0	0.6	38	14	424	16	11	5	0.704	0.968	0.939	0.672	0.731	0.704	0.717	0.269
0.375     	8.0_64.0	1.0	0.6	27	7	240	9	7	2	0.75	0.972	0.943	0.722	0.794	0.75	0.771	0.206
0.5       	4.0_64.0	1.0	0.6	60	11	787	18	11	7	0.769	0.986	0.967	0.755	0.845	0.769	0.805	0.155
0.5       	8.0_64.0	1.0	0.6	42	6	425	10	6	4	0.808	0.986	0.967	0.794	0.875	0.808	0.84	0.125
0.7_0.75  	4.0_64.0	1.0	0.6	52	10	262	14	9	5	0.788	0.963	0.929	0.751	0.839	0.788	0.813	0.161
0.7_0.75  	8.0_64.0	1.0	0.6	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	1.0	0.6	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	1.0	0.6	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
