vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.7_0.75  	4.0_64.0	1.1	0.4	53	16	256	13	9	4	0.803	0.941	0.914	0.744	0.768	0.803	0.785	0.232
0.7_0.75  	8.0_64.0	1.1	0.4	36	10	136	8	6	2	0.818	0.932	0.905	0.75	0.783	0.818	0.8	0.217
1.0       	4.0_64.0	1.1	0.4	55	12	142	11	9	2	0.833	0.922	0.895	0.755	0.821	0.833	0.827	0.179
1.0       	8.0_64.0	1.1	0.4	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.5	37	1841	13255	29	25	4	0.561	0.878	0.877	0.439	0.02	0.561	0.039	0.98
0.1_0.125 	8.0_64.0	1.1	0.5	29	1225	8509	15	13	2	0.659	0.874	0.873	0.533	0.023	0.659	0.044	0.977
0.25      	4.0_64.0	1.1	0.5	41	307	4218	25	19	6	0.621	0.932	0.928	0.553	0.118	0.621	0.198	0.882
0.25      	8.0_64.0	1.1	0.5	32	178	2411	12	9	3	0.727	0.931	0.928	0.658	0.152	0.727	0.251	0.848
0.375     	4.0_64.0	1.1	0.5	38	22	416	16	11	5	0.704	0.95	0.923	0.654	0.633	0.704	0.667	0.367
0.375     	8.0_64.0	1.1	0.5	27	14	233	9	7	2	0.75	0.943	0.919	0.693	0.659	0.75	0.702	0.341
0.5       	4.0_64.0	1.1	0.5	62	25	773	16	11	5	0.795	0.969	0.953	0.764	0.713	0.795	0.752	0.287
0.5       	8.0_64.0	1.1	0.5	44	14	417	8	6	2	0.846	0.968	0.954	0.814	0.759	0.846	0.8	0.241
0.7_0.75  	4.0_64.0	1.1	0.5	53	15	257	13	9	4	0.803	0.945	0.917	0.748	0.779	0.803	0.791	0.221
0.7_0.75  	8.0_64.0	1.1	0.5	36	9	137	8	6	2	0.818	0.938	0.911	0.756	0.8	0.818	0.809	0.2
1.0       	4.0_64.0	1.1	0.5	55	11	143	11	9	2	0.833	0.929	0.9	0.762	0.833	0.833	0.833	0.167
1.0       	8.0_64.0	1.1	0.5	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.6	37	1770	13326	29	25	4	0.561	0.883	0.881	0.444	0.02	0.561	0.039	0.98
0.1_0.125 	8.0_64.0	1.1	0.6	29	1179	8555	15	13	2	0.659	0.879	0.878	0.538	0.024	0.659	0.046	0.976
0.25      	4.0_64.0	1.1	0.6	41	276	4249	25	19	6	0.621	0.939	0.934	0.56	0.129	0.621	0.214	0.871
0.25      	8.0_64.0	1.1	0.6	32	156	2433	12	9	3	0.727	0.94	0.936	0.667	0.17	0.727	0.276	0.83
0.375     	4.0_64.0	1.1	0.6	38	19	419	16	11	5	0.704	0.957	0.929	0.661	0.667	0.704	0.685	0.333
0.375     	8.0_64.0	1.1	0.6	27	11	236	9	7	2	0.75	0.955	0.929	0.705	0.711	0.75	0.73	0.289
0.5       	4.0_64.0	1.1	0.6	62	18	780	16	11	5	0.795	0.977	0.961	0.772	0.775	0.795	0.785	0.225
0.5       	8.0_64.0	1.1	0.6	44	10	421	8	6	2	0.846	0.977	0.963	0.823	0.815	0.846	0.83	0.185
0.7_0.75  	4.0_64.0	1.1	0.6	53	14	258	13	9	4	0.803	0.949	0.92	0.752	0.791	0.803	0.797	0.209
0.7_0.75  	8.0_64.0	1.1	0.6	36	9	137	8	6	2	0.818	0.938	0.911	0.756	0.8	0.818	0.809	0.2
1.0       	4.0_64.0	1.1	0.6	55	11	143	11	9	2	0.833	0.929	0.9	0.762	0.833	0.833	0.833	0.167
1.0       	8.0_64.0	1.1	0.6	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.7	37	1692	13404	29	25	4	0.561	0.888	0.886	0.449	0.021	0.561	0.04	0.979
0.1_0.125 	8.0_64.0	1.1	0.7	29	1128	8606	15	13	2	0.659	0.884	0.883	0.543	0.025	0.659	0.048	0.975
0.25      	4.0_64.0	1.1	0.7	41	255	4270	25	19	6	0.621	0.944	0.939	0.565	0.139	0.621	0.227	0.861
0.25      	8.0_64.0	1.1	0.7	32	141	2448	12	9	3	0.727	0.946	0.942	0.673	0.185	0.727	0.295	0.815
0.375     	4.0_64.0	1.1	0.7	38	18	420	16	11	5	0.704	0.959	0.931	0.663	0.679	0.704	0.691	0.321
0.375     	8.0_64.0	1.1	0.7	27	11	236	9	7	2	0.75	0.955	0.929	0.705	0.711	0.75	0.73	0.289
0.5       	4.0_64.0	1.1	0.7	61	15	783	17	11	6	0.782	0.981	0.963	0.763	0.803	0.782	0.792	0.197
0.5       	8.0_64.0	1.1	0.7	43	8	423	9	6	3	0.827	0.981	0.965	0.808	0.843	0.827	0.835	0.157
0.7_0.75  	4.0_64.0	1.1	0.7	52	11	261	14	9	5	0.788	0.96	0.926	0.748	0.825	0.788	0.806	0.175
0.7_0.75  	8.0_64.0	1.1	0.7	35	7	139	9	6	3	0.795	0.952	0.916	0.747	0.833	0.795	0.814	0.167
1.0       	4.0_64.0	1.1	0.7	55	10	144	11	9	2	0.833	0.935	0.905	0.768	0.846	0.833	0.839	0.154
1.0       	8.0_64.0	1.1	0.7	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.8	37	1626	13470	29	25	4	0.561	0.892	0.891	0.453	0.022	0.561	0.042	0.978
0.1_0.125 	8.0_64.0	1.1	0.8	29	1088	8646	15	13	2	0.659	0.888	0.887	0.547	0.026	0.659	0.05	0.974
0.25      	4.0_64.0	1.1	0.8	41	241	4284	25	19	6	0.621	0.947	0.942	0.568	0.145	0.621	0.235	0.855
0.25      	8.0_64.0	1.1	0.8	32	133	2456	12	9	3	0.727	0.949	0.945	0.676	0.194	0.727	0.306	0.806
0.375     	4.0_64.0	1.1	0.8	38	17	421	16	11	5	0.704	0.961	0.933	0.665	0.691	0.704	0.697	0.309
0.375     	8.0_64.0	1.1	0.8	27	10	237	9	7	2	0.75	0.96	0.933	0.71	0.73	0.75	0.74	0.27
0.5       	4.0_64.0	1.1	0.8	61	13	785	17	11	6	0.782	0.984	0.966	0.766	0.824	0.782	0.802	0.176
0.5       	8.0_64.0	1.1	0.8	43	7	424	9	6	3	0.827	0.984	0.967	0.811	0.86	0.827	0.843	0.14
0.7_0.75  	4.0_64.0	1.1	0.8	52	10	262	14	9	5	0.788	0.963	0.929	0.751	0.839	0.788	0.813	0.161
0.7_0.75  	8.0_64.0	1.1	0.8	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	1.1	0.8	55	10	144	11	9	2	0.833	0.935	0.905	0.768	0.846	0.833	0.839	0.154
1.0       	8.0_64.0	1.1	0.8	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.9	37	1570	13526	29	25	4	0.561	0.896	0.895	0.457	0.023	0.561	0.044	0.977
0.1_0.125 	8.0_64.0	1.1	0.9	29	1049	8685	15	13	2	0.659	0.892	0.891	0.551	0.027	0.659	0.052	0.973
0.25      	4.0_64.0	1.1	0.9	40	224	4301	26	19	7	0.606	0.95	0.946	0.556	0.152	0.606	0.243	0.848
0.25      	8.0_64.0	1.1	0.9	31	124	2465	13	9	4	0.705	0.952	0.948	0.657	0.2	0.705	0.312	0.8
0.375     	4.0_64.0	1.1	0.9	38	15	423	16	11	5	0.704	0.966	0.937	0.67	0.717	0.704	0.71	0.283
0.375     	8.0_64.0	1.1	0.9	27	8	239	9	7	2	0.75	0.968	0.94	0.718	0.771	0.75	0.76	0.229
0.5       	4.0_64.0	1.1	0.9	60	10	788	18	11	7	0.769	0.987	0.968	0.756	0.857	0.769	0.811	0.143
0.5       	8.0_64.0	1.1	0.9	42	5	426	10	6	4	0.808	0.988	0.969	0.796	0.894	0.808	0.849	0.106
0.7_0.75  	4.0_64.0	1.1	0.9	52	10	262	14	9	5	0.788	0.963	0.929	0.751	0.839	0.788	0.813	0.161
0.7_0.75  	8.0_64.0	1.1	0.9	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	1.1	0.9	55	10	144	11	9	2	0.833	0.935	0.905	0.768	0.846	0.833	0.839	0.154
1.0       	8.0_64.0	1.1	0.9	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	1.0	37	1502	13594	29	25	4	0.561	0.901	0.899	0.462	0.024	0.561	0.046	0.976
0.1_0.125 	8.0_64.0	1.1	1.0	29	1004	8730	15	13	2	0.659	0.897	0.896	0.556	0.028	0.659	0.054	0.972
0.25      	4.0_64.0	1.1	1.0	40	202	4323	26	19	7	0.606	0.955	0.95	0.561	0.165	0.606	0.259	0.835
0.25      	8.0_64.0	1.1	1.0	31	111	2478	13	9	4	0.705	0.957	0.953	0.662	0.218	0.705	0.333	0.782
0.375     	4.0_64.0	1.1	1.0	38	12	426	16	11	5	0.704	0.973	0.943	0.677	0.76	0.704	0.731	0.24
0.375     	8.0_64.0	1.1	1.0	27	5	242	9	7	2	0.75	0.98	0.951	0.73	0.844	0.75	0.794	0.156
0.5       	4.0_64.0	1.1	1.0	60	10	788	18	11	7	0.769	0.987	0.968	0.756	0.857	0.769	0.811	0.143
0.5       	8.0_64.0	1.1	1.0	42	5	426	10	6	4	0.808	0.988	0.969	0.796	0.894	0.808	0.849	0.106
0.7_0.75  	4.0_64.0	1.1	1.0	52	9	263	14	9	5	0.788	0.967	0.932	0.755	0.852	0.788	0.819	0.148
0.7_0.75  	8.0_64.0	1.1	1.0	35	5	141	9	6	3	0.795	0.966	0.926	0.761	0.875	0.795	0.833	0.125
1.0       	4.0_64.0	1.1	1.0	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	1.1	1.0	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
